Treatment,Mass,mean
A,303.1092629,0.0
A,303.1237271,0.0
A,303.1449213,0.0
A,303.1456479,0.0
A,303.1602664,0.0
A,303.1820108,0.0
A,304.0097557,0.0
A,304.0461636,0.0
A,304.0469394,0.0
A,304.0574801,0.0
A,304.082618,0.0
A,304.0833367,0.0
A,304.9938048,0.0
A,304.9945574,0.0
A,305.0301318,0.0
A,305.0309868,0.0
A,305.0414332,0.0
A,305.0422521,0.0
A,305.0666006,0.0
A,305.067366,0.0
A,305.0707352,0.0
A,305.0778917,0.0
A,305.0787055,0.0
A,305.088575,0.0
A,305.1029947,0.0
A,305.1037357,0.0
A,305.1249128,0.0
A,305.1393964,0.0
A,306.0252835,0.0
A,306.0255972,0.0
A,306.0262646,0.0
A,306.0619138,0.0
A,306.0627146,0.0
A,306.0982708,0.0
A,306.0990693,0.0
A,307.0094469,0.0
A,307.0102163,0.0
A,307.0458374,0.0
A,307.0466705,0.0
A,307.057136,0.0
A,307.057933,0.0
A,307.0822386,0.0
A,307.0830169,0.0
A,307.0935435,0.0
A,307.0943009,0.0
A,307.1186317,0.0
A,307.119408,0.0
A,307.1550448,0.0
A,307.1584175,0.0
A,308.0410906,0.0
A,308.0419571,0.0
A,308.0499158,0.0
A,308.0775332,0.0
A,308.0783222,0.0
A,308.1147627,0.0
A,308.1981718,0.0
A,309.0251986,0.0
A,309.0259265,0.0
A,309.0405195,0.0
A,309.0614983,0.0
A,309.0623131,0.0
A,309.072775,0.0
A,309.0736001,0.0
A,309.0978727,0.0
A,309.0987013,0.0
A,309.1012456,0.0
A,309.1019965,0.0
A,309.1343071,0.0
A,309.1351178,0.0
A,309.1529477,0.0
A,309.1707331,0.0
A,310.0567906,0.0
A,310.0576116,0.0
A,310.0931655,0.0
A,310.0939917,0.0
A,310.10525,0.0
A,310.1303979,0.0
A,310.177348,0.0
A,311.0044132,0.0
A,311.0052181,0.0
A,311.0196703,0.0
A,311.0205015,0.0
A,311.0407513,0.0
A,311.041599,0.0
A,311.0561039,0.0
A,311.0569411,0.0
A,311.0771585,0.0
A,311.0779915,0.0
A,311.0883792,0.0
A,311.0892817,0.0
A,311.1135585,0.0
A,311.1143934,0.0
A,311.1322299,0.0
A,311.1500286,0.0
A,311.1508394,0.0
A,311.1684803,0.0
A,311.18638,0.0
A,311.2015954,0.0
A,312.0367568,0.0
A,312.0520844,0.0
A,312.0724115,0.0
A,312.0732826,0.0
A,312.1088894,0.0
A,313.0200463,0.0
A,313.0209302,0.0
A,313.0353075,0.0
A,313.0361338,0.0
A,313.0466068,0.0
A,313.0472982,0.0
A,313.0564425,0.0
A,313.0573194,0.0
A,313.0716928,0.0
A,313.0725715,0.0
A,313.0928131,0.0
A,313.0936831,0.0
A,313.1292561,0.0
A,313.1300976,0.0
A,313.1478615,0.0
A,313.166549,0.0
A,314.0305144,0.0
A,314.031304,0.0
A,314.0419049,0.0
A,314.0526889,0.0
A,314.0669047,0.0
A,314.0677676,0.0
A,314.08809,0.0
A,314.0890296,0.0
A,314.9432484,0.0
A,315.0144819,0.0
A,315.0154263,0.0
A,315.0266336,0.0
A,315.0357373,0.0
A,315.0366787,0.0
A,315.0509558,0.0
A,315.0518915,0.0
A,315.0621973,0.0
A,315.0631391,0.0
A,315.0721174,0.0
A,315.073031,0.0
A,315.0873945,0.0
A,315.0883096,0.0
A,315.0986904,0.0
A,315.1084654,0.0
A,315.1093709,0.0
A,315.1238124,0.0
A,315.1448592,0.0
A,315.1457549,0.0
A,315.1812723,0.0
A,315.1821547,0.0
A,316.0097964,0.0
A,316.0462238,0.0
A,316.0471262,0.0
A,316.0574707,0.0
A,316.0582354,0.0
A,316.0683178,0.0
A,316.0826234,0.0
A,316.0835925,0.0
A,316.1046232,0.0
A,316.1190574,0.0
A,316.9938647,0.0
A,316.994629,0.0
A,317.0302485,0.0
A,317.0311482,0.0
A,317.041466,0.0
A,317.0424814,0.0
A,317.051372,0.0
A,317.0523518,0.0
A,317.0666056,0.0
A,317.0675146,0.0
A,317.0709203,0.0
A,317.0779132,0.0
A,317.0788494,0.0
A,317.0877922,0.0
A,317.088728,0.0
A,317.1029764,0.0
A,317.1039246,0.0
A,317.1142506,0.0
A,317.1241643,0.0
A,317.1251009,0.0
A,317.1394445,0.0
A,317.1605441,0.0
A,317.161436,0.0
A,317.1977605,0.0
A,318.0254732,0.0
A,318.02634,0.0
A,318.0343318,0.0
A,318.0374965,0.0
A,318.0619174,0.0
A,318.0628648,0.0
A,318.0731406,0.0
A,318.0740452,0.0
A,318.0982739,0.0
A,318.0992441,0.0
