SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample10,Sugar,Glyoxylate_(-H2O),C2O2,1709,0.0408548683990342
Sample10,Abiotic,Carboxylation,CO2,1735,0.0414764170113074
Sample10,Abiotic,Condensation/hydration/dehydration,H2O,1798,0.042982477110277
Sample10,Abiotic,Ethyl_addition_(-H2O),C2H4,1880,0.0449427458105232
Sample10,Abiotic,C2H2,C2H2,1881,0.0449666515263799
Sample10,Abiotic,Acetylation_(-H2O),C2H2O,1981,0.047357223112046
Sample10,Abiotic,Formic_Acid_(-H2O),CO,2042,0.0488154717793024
Sample10,Abiotic,Oxidation/Hydroxylation_(-H),O,2074,0.0495804546867156
Sample10,Abiotic,Methylation_(-H),CH3,2210,0.0528316320432215
Sample10,Abiotic,Hydrogenation/dehydrogenation,H2,2250,0.0537878606774879
Sample11,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,1,3.274179817955602e-05
Sample11,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,1,3.274179817955602e-05
Sample11,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,1,3.274179817955602e-05
Sample11,Other,Phytochelatin,C10H16N3O6S-,1,3.274179817955602e-05
Sample11,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,1,3.274179817955602e-05
Sample11,Sugar,Disaccharide_(-H2O),C12H20O11,2,6.548359635911205e-05
Sample11,Abiotic,GSH_Conjugation_2,C10H17N3O6S,2,6.548359635911205e-05
Sample11,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,3,9.822539453866808e-05
Sample11,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,4,0.0001309671927182
Sample11,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,4,0.0001309671927182
Sample11,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,4,0.0001309671927182
